Year,Period,monthly_cao,monthly_cpi,yearly_cao,yearly_cpi
2002,January,,79.38,73.8,80.54
2002,July,,80.54,73.8,80.54
2003,January,,81.25,75.8,82.43
2003,July,,82.24,75.8,82.43
2004,January,,82.35,76.8,83.48
2004,July,,83.19,76.8,83.48
2005,January,,83.58,77.2,84.88
2005,July,,84.57,77.2,84.88
2006,January,,84.68,78.5,85.82
2006,July,,85.68,78.5,85.82
2007,January,,85.89,80.0,87.2
2007,July,,86.93,80.0,87.2
2008,January,,87.63,82.4,89.37
2008,July,,89.72,82.4,89.37
2009,January,,89.32,84.4,90.44
2009,July,,89.89,84.4,90.44
2010,January,,90.05,85.4,91.59
2010,July,,91.34,85.4,91.59
2011,January,,91.72,86.4,93.73
2011,July,,94.04,86.4,93.73
2012,January,,93.99,87.5,96.04
2012,July,,96.2,87.5,96.04
2013,January,,96.78,88.4,98.44
2013,July,,99.15,88.4,98.44
2014,January,,98.15,89.2,99.4
2014,July,,100.05,89.2,99.4
2015,January,,98.15,90.2,100.0
2015,July,,101.0,90.2,100.0
2016,January,,98.71,91.8,100.32
2016,July,,100.76,91.8,100.32
2017,January,,100.35,93.0,101.7
2017,July,,102.11,93.0,101.7
2018,January,,101.82,94.8,103.44
2018,July,,104.28,94.8,103.44
2019,January,,104.05,97.0,106.16
2019,July,,106.9,97.0,106.16
2020,January,99.1,105.97,100.0,107.51
2020,January,99.1,105.97,100.0,107.51
2020,July,100.5,108.69,100.0,107.51
2020,July,100.5,108.69,100.0,107.51
2021,January,101.2,107.62,101.9,110.39
2021,January,101.2,107.62,101.9,110.39
2021,July,102.3,110.23,101.9,110.39
2021,July,102.3,110.23,101.9,110.39
2022,January,103.7,114.53,105.2,121.43
2022,January,103.7,114.53,105.2,121.43
2022,July,105.8,121.57,105.2,121.43
2022,July,105.8,121.57,105.2,121.43
2023,January,109.0,123.21,111.3,126.09
2023,January,109.0,123.21,111.3,126.09
2023,July,111.9,127.13,111.3,126.09
2023,July,112.0,127.13,111.3,126.09
2024,January,116.8,127.11,119.0,130.31
2024,January,116.8,127.11,119.0,130.31
2024,July,120.1,131.82,119.0,130.31
2024,July,120.0,131.82,119.0,130.31
2025,January,123.2,131.35,,
2025,January,123.5,131.35,,
2025,July,125.5,135.69,,
2025,July,125.6,135.69,,
2026,January,,,,
2026,July,,,,
